57, 0 %, 1 MiB
56, 0 %, 13 MiB
57, 0 %, 832 MiB
56, 0 %, 832 MiB
55, 0 %, 832 MiB
55, 0 %, 832 MiB
54, 0 %, 832 MiB
54, 0 %, 832 MiB
54, 2 %, 1698 MiB
58, 98 %, 16152 MiB
60, 97 %, 16152 MiB
61, 98 %, 16152 MiB
61, 98 %, 16152 MiB
61, 98 %, 16152 MiB
62, 98 %, 16152 MiB
63, 97 %, 16152 MiB
63, 98 %, 16152 MiB
64, 98 %, 16152 MiB
63, 98 %, 16152 MiB
65, 98 %, 16152 MiB
65, 98 %, 16152 MiB
66, 98 %, 16152 MiB
65, 98 %, 16152 MiB
66, 98 %, 16152 MiB
66, 97 %, 16152 MiB
66, 98 %, 16152 MiB
66, 98 %, 16152 MiB
67, 98 %, 16152 MiB
67, 99 %, 16152 MiB
67, 99 %, 16152 MiB
67, 98 %, 16152 MiB
68, 99 %, 16152 MiB
67, 99 %, 16152 MiB
67, 99 %, 16152 MiB
67, 99 %, 16152 MiB
67, 99 %, 16154 MiB
68, 98 %, 16154 MiB
67, 99 %, 16154 MiB
67, 99 %, 16154 MiB
68, 99 %, 16154 MiB
68, 99 %, 16154 MiB
67, 99 %, 16154 MiB
68, 98 %, 16154 MiB
65, 0 %, 16124 MiB
63, 0 %, 1 MiB
