name_gpu,num_gpu,ssd,bert_base_squad,bert_large_squad,gnmt,maskrcnn,ncf,resnet50,tacotron2,transformerxlbase,transformerxllarge,waveglow
V100,1,108,36,12,372,15,3616582,296,108,20,8,15
QuadroRTX8000,1,158,56,18,648,32,5120000,496,168,32,16,26
QuadroRTX6000,1,80,26,8,288,12,2516582,224,80,14,4,10
QuadroRTX5000,1,48,16,4,184,9,1400000,152,52,8,2,5
TitanRTX,1,80,26,8,288,12,2516582,224,80,14,4,10
2080Ti,1,32,10,2,108,6,720000,100,36,4,0,2
1080Ti,1,32,10,2,108,6,720000,100,36,4,0,2
2080SuperMaxQ,1,16,6,0,56,4,12000,64,24,2,0,0
2080MaxQ,1,16,6,0,56,4,12000,64,24,2,0,0
2070MaxQ,1,16,6,0,56,4,12000,64,24,2,0,0
3080,1,24,10,2,80,4,600000,80,24,2,0,0
3090,1,80,26,8,288,12,2516582,224,80,14,4,10
A100_PCIe,1,128,48,16,512,24,4000000,360,128,26,12,16
A100_SXM4,1,128,48,16,512,24,4000000,360,128,26,12,16
2x2080TiNVlink_trt,2,64,20,4,216,12,1400000,200,72,8,2,4
2x2080TiNVlink_trt2,2,64,20,4,216,12,1400000,200,72,8,2,4
2x2080Ti_trt,2,64,20,4,216,12,1400000,200,72,8,2,4
2x2080Ti_trt2,2,64,20,4,216,12,1400000,200,72,8,2,4
4x2080TiNVlink_trt,4,112,40,8,432,24,2800000,400,144,16,4,8
4x2080TiNVlink_trt2,4,112,40,8,432,24,2800000,400,144,16,4,8
4x2080Ti_trt,4,112,40,8,432,24,2800000,400,144,16,4,8
4x2080Ti_trt2,4,112,40,8,432,24,2800000,400,144,16,4,8
8x2080TiNVlink_trt,8,224,80,16,864,48,5600000,800,288,32,8,16
8x2080TiNVlink_trt2,8,224,80,16,864,48,5600000,800,288,32,8,16
8x2080Ti_trt,8,224,80,16,864,48,5600000,800,288,32,8,16
8x2080Ti_trt2,8,224,80,16,864,48,5600000,800,288,32,8,16
2xQuadroRTX8000NVlink_trt,2,288,112,36,1296,64,10000000,992,272,64,32,52
2xQuadroRTX8000NVlink_trt2,2,288,112,36,1296,64,10000000,992,272,64,32,52
2xQuadroRTX8000_trt,2,288,112,36,1296,64,10000000,992,272,64,32,52
2xQuadroRTX8000_trt2,2,288,112,36,1296,64,10000000,992,272,64,32,52
4xQuadroRTX8000NVlink_trt,4,576,224,72,2592,128,20000000,1984,544,128,64,104
4xQuadroRTX8000NVlink_trt2,4,576,224,72,2592,128,20000000,1984,544,128,64,104
4xQuadroRTX8000_trt,4,576,224,72,2592,128,20000000,1984,544,128,64,104
4xQuadroRTX8000_trt2,4,576,224,72,2592,128,20000000,1984,544,128,64,104
8xQuadroRTX8000NVlink_trt,8,1152,448,144,5184,256,40000000,3968,1088,256,128,208
8xQuadroRTX8000NVlink_trt2,8,1152,448,144,5184,256,40000000,3968,1088,256,128,208
8xQuadroRTX8000_trt,8,1152,448,144,5184,256,40000000,3968,1088,256,128,208
8xQuadroRTX8000_trt2,8,1152,448,144,5184,256,40000000,3968,1088,256,128,208
2xV100,2,216,72,24,744,30,7216582,592,216,40,16,30
4xV100,4,432,144,48,1488,60,14216582,1184,432,80,32,60
8xV100,8,864,288,96,2976,120,28216582,2368,864,160,64,120
LambdaCloud_4x1080Ti,4,128,40,8,432,24,2800000,400,144,16,4,8
LambdaCloud_2xQuadroRTX6000,2,160,52,16,576,24,5016582,448,160,28,8,20
LambdaCloud_4xQuadroRTX6000,4,320,104,32,1152,48,10016582,896,320,56,16,40
LambdaCloud_8xV10016G,8,384,128,32,1280,48,11200000,1184,416,64,16,40
Linode_2xQuadroRTX6000,2,160,52,16,576,24,5016582,448,160,28,8,20
p3.16xlarge,8,384,128,32,1280,48,11200000,1184,416,64,16,40
p3.8xlarge,4,192,64,16,640,24,5600000,592,208,32,8,20
2x3090,2,160,52,16,576,24,5016582,448,160,28,8,20
3x3090,3,240,78,24,864,36,7200000,600,240,42,12,30
2xA100_PCIe,2,256,96,32,1024,48,8000000,720,256,52,24,32
4xA100_PCIe,4,512,192,64,2048,96,16000000,1440,512,104,48,64
8xA100_PCIe,8,1024,384,128,4096,192,32000000,2880,1024,208,96,128
2xA100_SXM4,2,256,96,32,1024,48,8000000,720,256,52,24,32
4xA100_SXM4,4,512,192,64,2048,96,16000000,1440,512,104,48,64
8xA100_SXM4,8,1024,384,128,4096,192,32000000,2880,1024,208,96,128
