=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fe4b5891840>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-06-17 19:31:52.879605 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 496  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : False  prof : 100  amp : False  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
DLL 2020-06-17 19:32:04.746702 - Epoch: 0 Iteration: 1  train.loss : 7.08449  train.total_ips : 41.85 img/s
DLL 2020-06-17 19:32:06.532685 - Epoch: 0 Iteration: 2  train.loss : 7.12043  train.total_ips : 277.74 img/s
DLL 2020-06-17 19:32:08.160887 - Epoch: 0 Iteration: 3  train.loss : 7.18095  train.total_ips : 304.68 img/s
DLL 2020-06-17 19:32:09.791132 - Epoch: 0 Iteration: 4  train.loss : 7.34869  train.total_ips : 304.27 img/s
DLL 2020-06-17 19:32:11.423284 - Epoch: 0 Iteration: 5  train.loss : 7.39128  train.total_ips : 303.91 img/s
DLL 2020-06-17 19:32:13.052537 - Epoch: 0 Iteration: 6  train.loss : 7.47996  train.total_ips : 304.45 img/s
DLL 2020-06-17 19:32:14.684897 - Epoch: 0 Iteration: 7  train.loss : 7.61876  train.total_ips : 303.88 img/s
DLL 2020-06-17 19:32:16.315304 - Epoch: 0 Iteration: 8  train.loss : 7.78672  train.total_ips : 304.23 img/s
DLL 2020-06-17 19:32:17.948722 - Epoch: 0 Iteration: 9  train.loss : 7.59654  train.total_ips : 303.67 img/s
DLL 2020-06-17 19:32:19.580082 - Epoch: 0 Iteration: 10  train.loss : 8.69910  train.total_ips : 304.05 img/s
DLL 2020-06-17 19:32:21.212868 - Epoch: 0 Iteration: 11  train.loss : 7.82117  train.total_ips : 303.79 img/s
