39, 0 %, 1 MiB
39, 1 %, 3 MiB
41, 3 %, 472 MiB
41, 7 %, 784 MiB
41, 0 %, 784 MiB
41, 0 %, 784 MiB
41, 0 %, 784 MiB
41, 0 %, 784 MiB
41, 0 %, 784 MiB
41, 3 %, 1730 MiB
47, 94 %, 21108 MiB
47, 93 %, 23854 MiB
48, 93 %, 23854 MiB
49, 93 %, 23854 MiB
50, 93 %, 23854 MiB
51, 93 %, 23854 MiB
51, 93 %, 23854 MiB
51, 95 %, 23854 MiB
52, 93 %, 23854 MiB
53, 97 %, 23854 MiB
53, 93 %, 23854 MiB
53, 93 %, 23854 MiB
54, 94 %, 23854 MiB
54, 93 %, 23854 MiB
55, 94 %, 23854 MiB
55, 93 %, 23854 MiB
55, 96 %, 23854 MiB
55, 93 %, 23854 MiB
56, 93 %, 23854 MiB
56, 92 %, 23854 MiB
56, 93 %, 23854 MiB
56, 95 %, 23854 MiB
56, 93 %, 23854 MiB
57, 93 %, 23854 MiB
57, 94 %, 23854 MiB
57, 93 %, 23854 MiB
57, 95 %, 23854 MiB
57, 93 %, 23854 MiB
57, 93 %, 23854 MiB
57, 94 %, 23854 MiB
57, 93 %, 23854 MiB
58, 95 %, 23854 MiB
58, 93 %, 23854 MiB
58, 93 %, 23854 MiB
58, 94 %, 23854 MiB
57, 93 %, 23854 MiB
58, 96 %, 23854 MiB
58, 93 %, 23854 MiB
58, 93 %, 23854 MiB
58, 94 %, 23854 MiB
59, 93 %, 23854 MiB
59, 93 %, 23854 MiB
59, 94 %, 23854 MiB
59, 91 %, 23854 MiB
59, 97 %, 23854 MiB
55, 95 %, 23864 MiB
54, 100 %, 23864 MiB
53, 100 %, 23864 MiB
52, 100 %, 23864 MiB
52, 100 %, 23864 MiB
51, 4 %, 23878 MiB
54, 54 %, 23960 MiB
50, 0 %, 23940 MiB
