name_gpu,num_gpu,ssd,bert_base_squad,bert_large_squad,gnmt,maskrcnn,ncf,resnet50,tacotron2,transformerxlbase,transformerxllarge,waveglow
V100 32GB,1.0,136.0,42.0,12.0,22743.0,10.0,9799945.0,368.0,17604.0,6518.0,2329.0,48458.0
RTX 8000,1.0,116.0,38.0,11.0,21808.0,10.0,8377572.0,300.0,10016.0,6124.0,2158.0,45876.0
RTX 6000,1.0,118.0,38.0,10.0,21014.0,10.0,8260887.0,301.0,8954.0,5684.0,1816.0,38687.0
RTX 5000,1.0,83.0,26.0,6.0,14320.0,7.0,5508657.0,213.0,6841.0,3188.0,1034.0,25736.0
Titan RTX,1.0,119.0,39.0,11.0,21329.0,10.0,8418704.0,306.0,8732.0,5801.0,1878.0,40381.0
RTX 2080Ti,1.0,106.0,30.0,6.0,15983.0,8.0,7534435.0,275.0,8669.0,4109.0,0.0,26236.0
GTX 1080Ti,1.0,70.0,28.0,5.0,11948.0,7.0,4265333.0,196.0,5828.0,2774.0,0.0,19581.0
RTX 2080 SUPER MAX-Q,1.0,56.0,15.0,0.0,7413.0,5.0,0.0,149.0,5105.0,1770.0,0.0,0.0
RTX 2080 MAX-Q,1.0,54.0,15.0,0.0,7194.0,4.0,0.0,146.0,4944.0,1584.0,0.0,0.0
RTX 2070 MAX-Q,1.0,49.0,14.0,0.0,6678.0,4.0,0.0,135.0,5003.0,1559.0,0.0,0.0
RTX 3070,1.0,71.0,29.0,3.0,12668.0,7.0,6263134.0,246.0,3789.0,2147.0,0.0,0.0
RTX 3080,1.0,111.0,47.0,8.0,26904.0,11.0,11568606.0,384.0,7251.0,5007.0,0.0,29891.0
RTX 3090,1.0,137.0,72.0,17.0,43323.0,14.0,14717145.0,471.0,19728.0,11772.0,4062.0,70841.0
A100 40GB PCIe,1.0,230.0,142.0,37.0,92575.0,23.0,23219336.0,744.0,29822.0,21311.0,9687.0,138951.0
A100 40GB SXM4,1.0,251.0,154.0,40.0,105406.0,25.0,24027758.0,798.0,29795.0,23158.0,10795.0,144956.0
RTX A6000,1.0,135.0,94.0,25.0,57971.0,12.0,13386073.0,437.0,24085.0,13880.0,6114.0,93918.0
RTX A5000,1.0,116.0,70.0,14.0,27205.0,13.0,11927449.0,405.0,20459.0,8172.0,3452.0,35112.0
Lambda Cloud — RTX A6000,1.0,134.0,86.0,23.0,58749.0,12.0,13439028.0,441.0,23325.0,13858.0,6169.0,94961.0
RTX 3080 Max-Q,1.0,55.0,33.0,7.0,13129.0,6.0,5648829.0,193.0,9486.0,4653.0,967.0,34086.0
RTX A40,1.0,110.0,62.0,20.0,36858.0,13.0,10838123.0,390.0,22863.0,9638.0,3536.0,66806.0
RTX A4000,1.0,75.0,46.0,9.0,16291.0,8.0,6767547.0,255.0,11029.0,6253.0,1790.0,24262.0
2x RTX 2080Ti NVLink,2.0,196.0,48.0,6.0,22843.0,15.0,11806932.0,498.0,16368.0,7790.0,0.0,36477.0
2x RTX 2080Ti,2.0,196.0,49.0,6.0,22863.0,15.0,11764705.0,497.0,16355.0,7803.0,0.0,36555.0
4x RTX 2080Ti NVLink,4.0,399.0,97.0,12.0,45391.0,30.0,23566692.0,1005.0,31810.0,15503.0,0.0,72595.0
4x RTX 2080Ti,4.0,393.0,89.0,11.0,42595.0,29.0,21920198.0,996.0,31517.0,15514.0,0.0,67466.0
8x RTX 2080Ti NVLink,8.0,812.0,169.0,21.0,90385.0,58.0,48254509.0,2018.0,58457.0,30762.0,0.0,138428.0
8x RTX 2080Ti,8.0,803.0,160.0,19.0,83277.0,57.0,44229039.0,2000.0,57294.0,30906.0,0.0,123733.0
2x RTX 8000 NVLink,2.0,229.0,70.0,21.0,41410.0,20.0,17775522.0,591.0,18636.0,12059.0,4269.0,69569.0
2x RTX 8000,2.0,229.0,73.0,21.0,41364.0,20.0,17736733.0,589.0,18532.0,12043.0,4267.0,88716.0
4x RTX 8000 NVLink,4.0,456.0,141.0,39.0,80928.0,38.0,39979729.0,1167.0,36779.0,23900.0,8452.0,133290.0
4x RTX 8000,4.0,456.0,152.0,40.0,80846.0,37.0,39860487.0,1175.0,36746.0,24044.0,8499.0,175633.0
8x RTX 8000 NVLink,8.0,855.0,208.0,59.0,158607.0,68.0,80922342.0,2337.0,71832.0,47939.0,16919.0,263976.0
8x RTX 8000,8.0,917.0,254.0,66.0,159861.0,65.0,80711348.0,2351.0,74013.0,48241.0,17038.0,350299.0
2x V100 32GB,2.0,271.0,81.0,23.0,43797.0,19.0,20432626.0,726.0,33063.0,12912.0,4605.0,92699.0
4x V100 32GB,4.0,535.0,156.0,46.0,86930.0,38.0,45019267.0,1441.0,62875.0,25417.0,9113.0,175882.0
8x V100 32GB,8.0,1043.0,304.0,88.0,171783.0,74.0,60883994.0,2862.0,129549.0,50356.0,18105.0,277702.0
Lambda Cloud — 4x GTX 1080Ti,4.0,277.0,62.0,6.0,25878.0,21.0,13060176.0,672.0,21383.0,10578.0,0.0,43442.0
Lambda Cloud — 2x RTX 6000,2.0,234.0,62.0,13.0,31602.0,18.0,14517692.0,588.0,16451.0,11551.0,3647.0,69086.0
Lambda Cloud — 4x RTX 6000,4.0,472.0,117.0,25.0,61747.0,35.0,30240918.0,1171.0,32787.0,22809.0,7260.0,136754.0
Lambda Cloud — 8x V100 16GB,8.0,1015.0,259.0,65.0,158279.0,73.0,87806716.0,2882.0,68251.0,42902.0,13294.0,231825.0
Lambda Cloud — 2x RTX A6000,2.0,253.0,170.0,44.0,112499.0,22.0,27758579.0,876.0,43355.0,27743.0,12319.0,186099.0
Lambda Cloud — 4x RTX A6000,4.0,441.0,280.0,56.0,153067.0,42.0,57941131.0,1703.0,56079.0,55055.0,24685.0,318018.0
Linode Cloud — 2x RTX 6000,2.0,233.0,68.0,17.0,38180.0,18.0,16295360.0,581.0,15419.0,11247.0,3601.0,66785.0
p3.16xlarge,8.0,1071.0,277.0,66.0,158037.0,75.0,86500059.0,0.0,59077.0,42780.0,13084.0,247673.0
p3.8xlarge,4.0,544.0,145.0,34.0,80563.0,40.0,41107931.0,1441.0,33843.0,21546.0,6656.0,139022.0
