DLL 2022-10-02 16:12:33.521291 - PARAMETER output : ./ 
DLL 2022-10-02 16:12:33.521352 - PARAMETER dataset_path : /data/tacotron2/LJSpeech-1.1 
DLL 2022-10-02 16:12:33.521374 - PARAMETER model_name : WaveGlow 
DLL 2022-10-02 16:12:33.521393 - PARAMETER log_file : nvlog.json 
DLL 2022-10-02 16:12:33.521409 - PARAMETER anneal_steps : None 
DLL 2022-10-02 16:12:33.521425 - PARAMETER anneal_factor : 0.1 
DLL 2022-10-02 16:12:33.521442 - PARAMETER epochs : 2 
DLL 2022-10-02 16:12:33.521459 - PARAMETER epochs_per_checkpoint : 50 
DLL 2022-10-02 16:12:33.521474 - PARAMETER checkpoint_path :  
DLL 2022-10-02 16:12:33.521489 - PARAMETER resume_from_last : False 
DLL 2022-10-02 16:12:33.521504 - PARAMETER dynamic_loss_scaling : True 
DLL 2022-10-02 16:12:33.521520 - PARAMETER amp : False 
DLL 2022-10-02 16:12:33.521537 - PARAMETER cudnn_enabled : True 
DLL 2022-10-02 16:12:33.521552 - PARAMETER cudnn_benchmark : True 
DLL 2022-10-02 16:12:33.521568 - PARAMETER disable_uniform_initialize_bn_weight : False 
DLL 2022-10-02 16:12:33.521584 - PARAMETER use_saved_learning_rate : False 
DLL 2022-10-02 16:12:33.521599 - PARAMETER learning_rate : 0.0 
DLL 2022-10-02 16:12:33.521616 - PARAMETER weight_decay : 0.0 
DLL 2022-10-02 16:12:33.521632 - PARAMETER grad_clip_thresh : 65504.0 
DLL 2022-10-02 16:12:33.521647 - PARAMETER batch_size : 32 
DLL 2022-10-02 16:12:33.521663 - PARAMETER grad_clip : 5.0 
DLL 2022-10-02 16:12:33.521679 - PARAMETER load_mel_from_disk : False 
DLL 2022-10-02 16:12:33.521696 - PARAMETER training_files : filelists/ljs_audio_text_train_subset_625_filelist.txt 
DLL 2022-10-02 16:12:33.521711 - PARAMETER validation_files : filelists/ljs_audio_text_val_filelist.txt 
DLL 2022-10-02 16:12:33.521725 - PARAMETER text_cleaners : ['english_cleaners'] 
DLL 2022-10-02 16:12:33.521743 - PARAMETER max_wav_value : 32768.0 
DLL 2022-10-02 16:12:33.521759 - PARAMETER sampling_rate : 22050 
DLL 2022-10-02 16:12:33.521776 - PARAMETER filter_length : 1024 
DLL 2022-10-02 16:12:33.521791 - PARAMETER hop_length : 256 
DLL 2022-10-02 16:12:33.521805 - PARAMETER win_length : 1024 
DLL 2022-10-02 16:12:33.521820 - PARAMETER mel_fmin : 0.0 
DLL 2022-10-02 16:12:33.521835 - PARAMETER mel_fmax : 8000.0 
DLL 2022-10-02 16:12:33.521850 - PARAMETER rank : 0 
DLL 2022-10-02 16:12:33.521865 - PARAMETER world_size : 1 
DLL 2022-10-02 16:12:33.521880 - PARAMETER dist_url : tcp://localhost:23456 
DLL 2022-10-02 16:12:33.521894 - PARAMETER group_name : group_name 
DLL 2022-10-02 16:12:33.521908 - PARAMETER dist_backend : nccl 
DLL 2022-10-02 16:12:33.521923 - PARAMETER bench_class :  
DLL 2022-10-02 16:12:33.521937 - PARAMETER model_name : Tacotron2_PyT 
train.py:402: SyntaxWarning: "is not" with a literal. Did you mean "!="?
  if args.checkpoint_path is not "":
/workspace/examples/tacotron2/waveglow/model.py:55: UserWarning: torch.qr is deprecated in favor of torch.linalg.qr and will be removed in a future PyTorch release.
The boolean parameter 'some' has been replaced with a string parameter 'mode'.
Q, R = torch.qr(A, some)
should be replaced with
Q, R = torch.linalg.qr(A, 'reduced' if some else 'complete') (Triggered internally at  /opt/pytorch/pytorch/aten/src/ATen/native/BatchLinearAlgebra.cpp:1934.)
  W = torch.qr(torch.FloatTensor(c, c).normal_())[0]
DLL 2022-10-02 16:12:57.839442 - (0, 0) glob_iter/iters_per_epoch : 0/19 
DLL 2022-10-02 16:13:03.567095 - (0, 0) train_loss : 0.002339344471693039 
DLL 2022-10-02 16:13:06.222239 - (0, 0) train_items_per_sec : 30538.52924468697 
DLL 2022-10-02 16:13:06.222331 - (0, 0) train_iter_time : 8.382852951064706 
DLL 2022-10-02 16:13:06.224349 - (0, 1) glob_iter/iters_per_epoch : 1/19 
DLL 2022-10-02 16:13:07.193326 - (0, 1) train_loss : 0.0017877686768770218 
DLL 2022-10-02 16:13:08.067054 - (0, 1) train_items_per_sec : 138925.81794422478 
DLL 2022-10-02 16:13:08.067174 - (0, 1) train_iter_time : 1.8427100433036685 
DLL 2022-10-02 16:13:08.070175 - (0, 2) glob_iter/iters_per_epoch : 2/19 
DLL 2022-10-02 16:13:08.453760 - (0, 2) train_loss : 0.002247869735583663 
DLL 2022-10-02 16:13:09.305445 - (0, 2) train_items_per_sec : 207238.24922444418 
DLL 2022-10-02 16:13:09.305531 - (0, 2) train_iter_time : 1.2352931997738779 
DLL 2022-10-02 16:13:09.306936 - (0, 3) glob_iter/iters_per_epoch : 3/19 
DLL 2022-10-02 16:13:09.689269 - (0, 3) train_loss : 0.002377572935074568 
DLL 2022-10-02 16:13:10.541028 - (0, 3) train_items_per_sec : 207438.64193547764 
DLL 2022-10-02 16:13:10.541110 - (0, 3) train_iter_time : 1.2340998649597168 
DLL 2022-10-02 16:13:10.542485 - (0, 4) glob_iter/iters_per_epoch : 4/19 
DLL 2022-10-02 16:13:10.917977 - (0, 4) train_loss : 0.0018872866639867425 
DLL 2022-10-02 16:13:11.770533 - (0, 4) train_items_per_sec : 208459.76485511698 
DLL 2022-10-02 16:13:11.770617 - (0, 4) train_iter_time : 1.2280547288246453 
DLL 2022-10-02 16:13:11.772290 - (0, 5) glob_iter/iters_per_epoch : 5/19 
DLL 2022-10-02 16:13:12.146790 - (0, 5) train_loss : 0.0023526514414697886 
DLL 2022-10-02 16:13:12.996518 - (0, 5) train_items_per_sec : 209110.11257947568 
DLL 2022-10-02 16:13:12.996599 - (0, 5) train_iter_time : 1.2242353889159858 
DLL 2022-10-02 16:13:12.998255 - (0, 6) glob_iter/iters_per_epoch : 6/19 
DLL 2022-10-02 16:13:13.372474 - (0, 6) train_loss : 0.0020967405289411545 
DLL 2022-10-02 16:13:14.226643 - (0, 6) train_items_per_sec : 208402.14200973534 
DLL 2022-10-02 16:13:14.226725 - (0, 6) train_iter_time : 1.228394283913076 
DLL 2022-10-02 16:13:14.228405 - (0, 7) glob_iter/iters_per_epoch : 7/19 
DLL 2022-10-02 16:13:14.603806 - (0, 7) train_loss : 0.002764787059277296 
DLL 2022-10-02 16:13:15.450983 - (0, 7) train_items_per_sec : 209392.54885033844 
DLL 2022-10-02 16:13:15.451073 - (0, 7) train_iter_time : 1.2225840957835317 
DLL 2022-10-02 16:13:15.453375 - (0, 8) glob_iter/iters_per_epoch : 8/19 
DLL 2022-10-02 16:13:15.831533 - (0, 8) train_loss : 0.0017657990101724863 
DLL 2022-10-02 16:13:16.681944 - (0, 8) train_items_per_sec : 208371.28035722778 
DLL 2022-10-02 16:13:16.682027 - (0, 8) train_iter_time : 1.2285762201063335 
DLL 2022-10-02 16:13:16.683640 - (0, 9) glob_iter/iters_per_epoch : 9/19 
DLL 2022-10-02 16:13:17.067525 - (0, 9) train_loss : 0.002411618595942855 
DLL 2022-10-02 16:13:17.919658 - (0, 9) train_items_per_sec : 207115.75544905325 
DLL 2022-10-02 16:13:17.919756 - (0, 9) train_iter_time : 1.2360237850807607 
