74, 0 %, 0 MiB
73, 0 %, 0 MiB
72, 0 %, 0 MiB
70, 1 %, 11 MiB
70, 1 %, 254 MiB
70, 4 %, 678 MiB
69, 0 %, 1130 MiB
69, 0 %, 1162 MiB
68, 0 %, 1162 MiB
68, 0 %, 1162 MiB
67, 0 %, 1162 MiB
67, 0 %, 1162 MiB
66, 0 %, 1162 MiB
66, 0 %, 1162 MiB
66, 5 %, 3456 MiB
65, 5 %, 5550 MiB
65, 4 %, 7246 MiB
65, 3 %, 8672 MiB
67, 70 %, 10538 MiB
67, 91 %, 10540 MiB
69, 50 %, 10932 MiB
68, 97 %, 10932 MiB
68, 96 %, 10932 MiB
67, 0 %, 10932 MiB
66, 28 %, 10932 MiB
67, 100 %, 10932 MiB
68, 100 %, 10932 MiB
69, 91 %, 10932 MiB
69, 64 %, 10932 MiB
69, 100 %, 10932 MiB
71, 87 %, 10932 MiB
69, 100 %, 10932 MiB
69, 14 %, 10932 MiB
68, 0 %, 10908 MiB
68, 0 %, 11 MiB
